source_i,source_j,absolute_tensor_correlation,mechanism_distance
SRC003,SRC033,0.03923775,0.96076225
SRC003,SRC034,0.39982265,0.60017735
SRC003,SRC035,0.22526287,0.77473713
SRC003,SRC036,0.26889111,0.73110889
SRC003,SRC037,0.01284033,0.98715967
SRC003,SRC038,0.60834907,0.39165093
SRC003,SRC039,0.04852183,0.95147817
SRC003,SRC040,0.68049381,0.31950619
SRC003,SRC041,0.20509312,0.79490688
SRC003,SRC042,0.89933957,0.10066043
SRC003,SRC043,0.11943816,0.88056184
SRC003,SRC044,0.80889710,0.19110290
SRC003,SRC045,0.54414054,0.45585946
SRC003,SRC046,0.87968933,0.12031067
SRC003,SRC047,0.94484744,0.05515256
SRC003,SRC048,0.53191554,0.46808446
SRC003,SRC049,0.61807809,0.38192191
SRC003,SRC050,0.55217723,0.44782277
SRC004,SRC005,0.01882146,0.98117854
SRC004,SRC006,0.24502617,0.75497383
SRC004,SRC007,0.54427891,0.45572109
SRC004,SRC008,0.21177003,0.78822997
SRC004,SRC009,0.25451571,0.74548429
SRC004,SRC010,0.05649401,0.94350599
SRC004,SRC011,0.91677595,0.08322405
SRC004,SRC012,0.21732934,0.78267066
SRC004,SRC013,0.97628725,0.02371275
SRC004,SRC014,0.82688689,0.17311311
SRC004,SRC015,0.33050089,0.66949911
SRC004,SRC016,0.92933301,0.07066699
SRC004,SRC017,0.85841705,0.14158295
SRC004,SRC018,0.57043817,0.42956183
SRC004,SRC019,0.78892956,0.21107044
SRC004,SRC020,0.53226197,0.46773803
SRC004,SRC021,0.27905481,0.72094519
SRC004,SRC022,0.21687107,0.78312893
SRC004,SRC023,0.32706900,0.67293100
SRC004,SRC024,0.45627276,0.54372724
SRC004,SRC025,0.34041635,0.65958365
SRC004,SRC026,0.01709756,0.98290244
SRC004,SRC027,0.06161848,0.93838152
SRC004,SRC028,0.54848262,0.45151738
SRC004,SRC029,0.30134182,0.69865818
SRC004,SRC030,0.72910767,0.27089233
SRC004,SRC031,0.27528910,0.72471090
SRC004,SRC032,0.15685527,0.84314473
SRC004,SRC033,0.85444990,0.14555010
SRC004,SRC034,0.01871824,0.98128176
SRC004,SRC035,0.74687367,0.25312633
SRC004,SRC036,0.19483272,0.80516728
SRC004,SRC037,0.17343880,0.82656120
SRC004,SRC038,0.55391176,0.44608824
SRC004,SRC039,0.04313882,0.95686118
SRC004,SRC040,0.20622361,0.79377639
SRC004,SRC041,0.62856175,0.37143825
SRC004,SRC042,0.30126508,0.69873492
SRC004,SRC043,0.05600057,0.94399943
SRC004,SRC044,0.29048378,0.70951622
SRC004,SRC045,0.53397521,0.46602479
SRC004,SRC046,0.32435475,0.67564525
SRC004,SRC047,0.04448277,0.95551723
SRC004,SRC048,0.56446694,0.43553306
SRC004,SRC049,0.46930526,0.53069474
SRC004,SRC050,0.33419127,0.66580873
SRC005,SRC006,0.87977515,0.12022485
SRC005,SRC007,0.18341824,0.81658176
SRC005,SRC008,0.67188018,0.32811982
SRC005,SRC009,0.86106816,0.13893184
SRC005,SRC010,0.22199987,0.77800013
SRC005,SRC011,0.06460160,0.93539840
SRC005,SRC012,0.67080855,0.32919145
SRC005,SRC013,0.13787101,0.86212899
SRC005,SRC014,0.41995477,0.58004523
SRC005,SRC015,0.82351119,0.17648881
SRC005,SRC016,0.17655488,0.82344512
SRC005,SRC017,0.38118855,0.61881145
SRC005,SRC018,0.49896587,0.50103413
SRC005,SRC019,0.08033908,0.91966092
SRC005,SRC020,0.48920273,0.51079727
SRC005,SRC021,0.87600774,0.12399226
SRC005,SRC022,0.53324085,0.46675915
SRC005,SRC023,0.23897702,0.76102298
SRC005,SRC024,0.54131037,0.45868963
SRC005,SRC025,0.60877619,0.39122381
SRC005,SRC026,0.50466024,0.49533976
SRC005,SRC027,0.16133309,0.83866691
