event_id,depth_bin_km,mechanism_class,candidate_quantile_index,radiation_score,selection_rank,selected,A_P_rms_proxy,A_P_near_node_fraction,A_S_rms_proxy,A_S_near_node_fraction,B_P_rms_proxy,B_P_near_node_fraction,B_S_rms_proxy,B_S_near_node_fraction,C_P_rms_proxy,C_P_near_node_fraction,C_S_rms_proxy,C_S_near_node_fraction
C110492C,0-70,thrust,357,3.88151709,11,true,0.85082999,0.00000000,0.50424439,0.00000000,0.85936117,0.00000000,0.50001077,0.00000000,0.62411534,0.00000000,0.54295543,0.00000000
C202109211314A,0-70,thrust,119,3.82684906,12,true,0.10378206,0.00000000,0.98425889,0.00000000,0.74125814,0.00000000,0.67013805,0.00000000,0.61655433,0.00000000,0.71085759,0.00000000
C100602F,0-70,thrust,596,3.81287144,13,true,0.53880657,0.00000000,0.72973724,0.00000000,0.95838896,0.00000000,0.32158542,0.00000000,0.29238290,0.00000000,0.97197035,0.00000000
C201306151734A,0-70,thrust,1232,3.67240613,14,true,0.63825443,0.00000000,0.60143493,0.00000000,0.60694320,0.00000000,0.80622437,0.00000000,1.05643565,0.00000000,0.18664297,0.11176471
C113095E,0-70,thrust,675,3.42260744,15,true,0.83135658,0.00000000,0.66040383,0.00000000,0.08104515,0.21176471,0.86560830,0.00000000,0.51143728,0.00000000,0.89628571,0.00000000
C100994B,0-70,thrust,1073,3.37072103,16,true,0.67765543,0.00000000,0.61770031,0.00000000,0.15566063,0.00000000,0.66947532,0.00000000,0.67797601,0.00000000,0.57225334,0.00000000
C201904091754A,0-70,thrust,1311,3.20250193,17,true,0.85079959,0.00000000,0.26911295,0.00000000,0.59700987,0.00000000,0.42893999,0.00000000,0.30732782,0.00000000,0.74931171,0.00000000
C200512210709A,0-70,thrust,993,2.63658993,18,true,0.37396391,0.00000000,0.40559278,0.00000000,0.73445390,0.00000000,0.18798467,0.00000000,0.32342801,0.00000000,0.61116665,0.00000000
C201502162200A,0-70,thrust,198,2.05310356,19,true,0.21345687,0.00000000,0.37863115,0.00000000,0.19819256,0.00000000,0.47293319,0.00000000,0.48981813,0.00000000,0.30007166,0.00000000
C033103A,0-70,thrust,516,1.73054487,20,false,0.59871197,0.00000000,0.07893615,0.28823529,0.48781416,0.00000000,0.29815505,0.00000000,0.45170666,0.00000000,0.39169147,0.00000000
C052792A,0-70,normal,326,3.99281671,1,true,0.99188945,0.00000000,0.22243507,0.00000000,0.73121542,0.00000000,0.70899850,0.00000000,0.76765986,0.00000000,0.57061842,0.00000000
C032298B,0-70,normal,213,3.91139294,2,true,0.74601236,0.00000000,0.69186465,0.00000000,0.91132798,0.00000000,0.36574119,0.00000000,0.96239913,0.00000000,0.23404763,0.00000000
C061495B,0-70,normal,236,3.90183844,3,true,0.86755805,0.00000000,0.48811066,0.00000000,0.87475983,0.00000000,0.44807947,0.00000000,0.69807224,0.00000000,0.52525820,0.00000000
C200504072004A,0-70,normal,11,3.89060969,4,true,0.92063184,0.00000000,0.41156315,0.00000000,0.91625555,0.00000000,0.38963371,0.00000000,0.91171919,0.00000000,0.34080625,0.00000000
C071104C,0-70,normal,168,3.84400990,5,true,0.88361631,0.00000000,0.47881837,0.00000000,0.90804358,0.00000000,0.37581987,0.00000000,0.95835369,0.00000000,0.23935808,0.00000000
B122000C,0-70,normal,191,3.84326404,6,false,0.74889007,0.00000000,0.66977747,0.00000000,0.82874398,0.00000000,0.37143820,0.00000000,0.94995977,0.00000000,0.27445455,0.00000000
C201608240136A,0-70,normal,78,3.83548753,7,false,0.88487688,0.00000000,0.45212635,0.00000000,0.92467087,0.00000000,0.36281997,0.00000000,0.81548950,0.00000000,0.39550395,0.00000000
