run_id,body_i,body_j,center_distance_km,support_radius_i_km,support_radius_j_km,clearance_km,status
SRC025_TRIULVZ,1,3,5366.243623,400.0000,240.0000,4726.243623,PASS
SRC025_TRIULVZ,2,3,5338.053685,240.0000,240.0000,4858.053685,PASS
SRC026_TRIULVZ,1,2,5447.024136,655.0000,240.0000,4552.024136,PASS
SRC026_TRIULVZ,1,3,5491.254382,655.0000,240.0000,4596.254382,PASS
SRC026_TRIULVZ,2,3,5701.703479,240.0000,240.0000,5221.703479,PASS
SRC027_TRIULVZ,1,2,5271.935093,240.0000,398.3824,4633.552693,PASS
SRC027_TRIULVZ,1,3,5689.437312,240.0000,252.7941,5196.643212,PASS
SRC027_TRIULVZ,2,3,5736.211249,398.3824,252.7941,5085.034749,PASS
SRC028_TRIULVZ,1,2,5481.982313,240.0000,400.0000,4841.982313,PASS
SRC028_TRIULVZ,1,3,5338.053685,240.0000,240.0000,4858.053685,PASS
SRC028_TRIULVZ,2,3,4848.080583,400.0000,240.0000,4208.080583,PASS
SRC029_TRIULVZ,1,2,5274.479775,240.0000,400.0000,4634.479775,PASS
SRC029_TRIULVZ,1,3,5231.373360,240.0000,240.0000,4751.373360,PASS
SRC029_TRIULVZ,2,3,5491.254381,400.0000,240.0000,4851.254381,PASS
SRC030_TRIULVZ,1,2,5149.293335,400.0000,240.0000,4509.293335,PASS
SRC030_TRIULVZ,1,3,5254.857577,400.0000,301.3235,4553.534077,PASS
SRC030_TRIULVZ,2,3,4886.807253,240.0000,301.3235,4345.483753,PASS
SRC031_TRIULVZ,1,2,5098.559006,240.0000,382.2059,4476.353106,PASS
SRC031_TRIULVZ,1,3,5038.224443,240.0000,414.5588,4383.665643,PASS
SRC031_TRIULVZ,2,3,5374.431425,382.2059,414.5588,4577.666725,PASS
SRC032_TRIULVZ,1,2,5247.086706,240.0000,240.0000,4767.086706,PASS
SRC032_TRIULVZ,1,3,5189.398155,240.0000,655.0000,4294.398155,PASS
SRC032_TRIULVZ,2,3,5425.773646,240.0000,655.0000,4530.773646,PASS
SRC033_TRIULVZ,1,2,5982.543387,240.0000,240.0000,5502.543387,PASS
SRC033_TRIULVZ,1,3,6096.849113,240.0000,655.0000,5201.849113,PASS
SRC033_TRIULVZ,2,3,5982.543387,240.0000,655.0000,5087.543387,PASS
SRC034_TRIULVZ,1,2,5247.086706,655.0000,400.0000,4192.086706,PASS
SRC034_TRIULVZ,1,3,5499.050390,655.0000,366.0294,4478.020990,PASS
SRC034_TRIULVZ,2,3,5736.211249,400.0000,366.0294,4970.181849,PASS
SRC035_TRIULVZ,1,2,5673.684189,240.0000,400.0000,5033.684189,PASS
SRC035_TRIULVZ,1,3,5862.579748,240.0000,655.0000,4967.579748,PASS
SRC035_TRIULVZ,2,3,5447.024136,400.0000,655.0000,4392.024136,PASS
SRC036_TRIULVZ,1,2,5701.703479,240.0000,240.0000,5221.703479,PASS
SRC036_TRIULVZ,1,3,5425.773646,240.0000,400.0000,4785.773646,PASS
SRC036_TRIULVZ,2,3,5557.924849,240.0000,400.0000,4917.924849,PASS
SRC037_TRIULVZ,1,2,5374.431425,655.0000,655.0000,4064.431425,PASS
SRC037_TRIULVZ,1,3,4988.874452,655.0000,400.0000,3933.874452,PASS
SRC037_TRIULVZ,2,3,4888.608777,655.0000,400.0000,3833.608777,PASS
SRC038_TRIULVZ,1,2,5619.765356,349.8529,400.0000,4869.912456,PASS
SRC038_TRIULVZ,1,3,5576.485891,349.8529,240.0000,4986.632991,PASS
SRC038_TRIULVZ,2,3,5197.543308,400.0000,240.0000,4557.543308,PASS
SRC039_TRIULVZ,1,2,5189.398156,240.0000,400.0000,4549.398156,PASS
SRC039_TRIULVZ,1,3,5425.773646,240.0000,240.0000,4945.773646,PASS
SRC039_TRIULVZ,2,3,5247.086706,400.0000,240.0000,4607.086706,PASS
SRC040_TRIULVZ,1,2,5436.660625,240.0000,333.6765,4862.984125,PASS
SRC040_TRIULVZ,1,3,5003.468963,240.0000,240.0000,4523.468963,PASS
SRC040_TRIULVZ,2,3,5481.982313,333.6765,240.0000,4908.305813,PASS
SRC041_TRIULVZ,1,2,5689.437311,240.0000,240.0000,5209.437311,PASS
SRC041_TRIULVZ,1,3,5736.211248,240.0000,240.0000,5256.211248,PASS
SRC041_TRIULVZ,2,3,5271.935094,240.0000,240.0000,4791.935094,PASS
SRC042_TRIULVZ,1,2,5425.773646,240.0000,240.0000,4945.773646,PASS
SRC042_TRIULVZ,1,3,5689.437312,240.0000,655.0000,4794.437312,PASS
SRC042_TRIULVZ,2,3,5828.831837,240.0000,655.0000,4933.831837,PASS
SRC043_TRIULVZ,1,2,4794.476195,655.0000,400.0000,3739.476195,PASS
SRC043_TRIULVZ,1,3,5027.362194,655.0000,240.0000,4132.362194,PASS
SRC043_TRIULVZ,2,3,5247.086706,400.0000,240.0000,4607.086706,PASS
SRC044_TRIULVZ,1,2,5436.660625,240.0000,400.0000,4796.660625,PASS
SRC044_TRIULVZ,1,3,5003.468963,240.0000,240.0000,4523.468963,PASS
SRC044_TRIULVZ,2,3,5481.982313,400.0000,240.0000,4841.982313,PASS
SRC045_TRIULVZ,1,2,5982.543387,430.7353,240.0000,5311.808087,PASS
SRC045_TRIULVZ,1,3,5862.579748,430.7353,240.0000,5191.844448,PASS
SRC045_TRIULVZ,2,3,5982.543387,240.0000,240.0000,5502.543387,PASS
SRC046_TRIULVZ,1,2,5479.806458,240.0000,240.0000,4999.806458,PASS
SRC046_TRIULVZ,1,3,5338.053685,240.0000,240.0000,4858.053685,PASS
SRC046_TRIULVZ,2,3,5982.543387,240.0000,240.0000,5502.543387,PASS
