run_id,source_id,stage,run_kind,baseline_pair_id,n_ulvz,composition_summary,station_count,expected_trace_count,expected_npts,scratch_database_path,execution_order,run_relative_path,par_file_sha256,cmtsolution_sha256,stations_sha256,ulvz_file_sha256
SRC006_B0,SRC006,stage1_baseline,baseline,SRC006_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC006_B0/DATABASES_MPI/,6,production_inputs/SRC006_B0,9ec8da3324979d48127742b1cfa94c6268802a2f165a605e070b5415d3480d09,d86e3668ea0849d0725dd6a7ae5a87d8fa099afbc6464803820362a367a24139,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC006_TRIULVZ,SRC006,stage2_multi,tri_ulvz,SRC006_B0,3,A:ULVZ014:legacy_parameter_anchor;B:ULVZ140:survey_family_sample;C:ULVZ093:family_interpolant,510,1530,25400,/scratch/yiy/ulvz/SRC006_TRIULVZ/DATABASES_MPI/,56,production_inputs/SRC006_TRIULVZ,88b3c363150a91915d0837fccf1efcd1810f5dc4e54242cd2ffbc0666449dbc8,d86e3668ea0849d0725dd6a7ae5a87d8fa099afbc6464803820362a367a24139,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,27ecb628f2cdb9267bd27047284f069c81ce4f5ad1d22c383d0dc942ea860344
SRC007_B0,SRC007,stage1_baseline,baseline,SRC007_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC007_B0/DATABASES_MPI/,7,production_inputs/SRC007_B0,be27c72de5ca55d6f229835551e5b149df28add32188f81af102913d7e6841dc,7b03e58e9817a5315e2856f0ea27295b358f0e96d30570aa61c5ea9d60b34944,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC007_TRIULVZ,SRC007,stage2_multi,tri_ulvz,SRC007_B0,3,A:ULVZ119:survey_family_sample;B:ULVZ009:legacy_parameter_anchor;C:ULVZ047:family_interpolant,510,1530,25400,/scratch/yiy/ulvz/SRC007_TRIULVZ/DATABASES_MPI/,57,production_inputs/SRC007_TRIULVZ,b5bba65acf2dd3dfedaa66a3cf3e3157b74dba3bed65470223c373a1e601737f,7b03e58e9817a5315e2856f0ea27295b358f0e96d30570aa61c5ea9d60b34944,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,a7edbfdce9264dc55e03ab24161dae94b138854ae2f7d5e236e8194a841fb954
SRC008_B0,SRC008,stage1_baseline,baseline,SRC008_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC008_B0/DATABASES_MPI/,8,production_inputs/SRC008_B0,eebd4e44e19b528b007e9951668c85d467eeec20736289ebd6f78c1c158e26ec,2ec48a27c179aac212911bc600fdc4d8f08943010266dd08c0a55eaa764489ce,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC008_TRIULVZ,SRC008,stage2_multi,tri_ulvz,SRC008_B0,3,A:ULVZ146:survey_family_sample;B:ULVZ013:legacy_parameter_anchor;C:ULVZ016:legacy_parameter_anchor,510,1530,25400,/scratch/yiy/ulvz/SRC008_TRIULVZ/DATABASES_MPI/,58,production_inputs/SRC008_TRIULVZ,7429b4e86fb0cf8924e303226a90bc1dec7fc62fb621f62ad47f8c009b573656,2ec48a27c179aac212911bc600fdc4d8f08943010266dd08c0a55eaa764489ce,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,11ee00e153c41df4d6479e7672deb8841198ae5b62752f913c0b56ddac192966
SRC009_B0,SRC009,stage1_baseline,baseline,SRC009_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC009_B0/DATABASES_MPI/,9,production_inputs/SRC009_B0,5929dcda56e68cdef2281ee11b03081d79251b250ad60bffb3d0e733ae133126,3208a60dff01a114c40d087cbf297f17dceebbb88d0c09e682bee686286ff637,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC009_TRIULVZ,SRC009,stage2_multi,tri_ulvz,SRC009_B0,3,A:ULVZ008:legacy_parameter_anchor;B:ULVZ083:family_interpolant;C:ULVZ023:legacy_parameter_anchor,510,1530,25400,/scratch/yiy/ulvz/SRC009_TRIULVZ/DATABASES_MPI/,59,production_inputs/SRC009_TRIULVZ,08c535fd71278ef456ed097e06bbffef80673e0114916eec60454ab2c404a573,3208a60dff01a114c40d087cbf297f17dceebbb88d0c09e682bee686286ff637,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,43f5d50275c0cd6fd2ebe64f9c281b11acdce17c25b1986d7a72e4b84d091934
SRC010_B0,SRC010,stage1_baseline,baseline,SRC010_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC010_B0/DATABASES_MPI/,10,production_inputs/SRC010_B0,f7f2247619230c4d7dd1d543569684c67c166853800b4182c312dd12e1a677dd,9962f8199200ee27b9695b9b80ab7cb3aa9d59a1b020ff3139db9f4fa2db7baa,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC010_TRIULVZ,SRC010,stage2_multi,tri_ulvz,SRC010_B0,3,A:ULVZ059:family_interpolant;B:ULVZ123:survey_family_sample;C:ULVZ136:survey_family_sample,510,1530,25400,/scratch/yiy/ulvz/SRC010_TRIULVZ/DATABASES_MPI/,60,production_inputs/SRC010_TRIULVZ,69000df95e550886255aea98a149df805fa8c03c634467ba2a592485efffffdd,9962f8199200ee27b9695b9b80ab7cb3aa9d59a1b020ff3139db9f4fa2db7baa,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,39f1182c18581d7977bc8247daaec4895d3865e447f51ace323c79fee05bb0d0
SRC011_B0,SRC011,stage1_baseline,baseline,SRC011_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC011_B0/DATABASES_MPI/,11,production_inputs/SRC011_B0,c6529287e00392a3a2e26e3322d3d019abba0328667130591b4556ea3c2193f2,60b868de3f5ff0327c012481ec50336fd3b6ef045bb73b0b37efd2e1b84e616b,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC011_TRIULVZ,SRC011,stage2_multi,tri_ulvz,SRC011_B0,3,A:ULVZ111:survey_family_sample;B:ULVZ125:survey_family_sample;C:ULVZ085:family_interpolant,510,1530,25400,/scratch/yiy/ulvz/SRC011_TRIULVZ/DATABASES_MPI/,61,production_inputs/SRC011_TRIULVZ,90592cdb44a4fc38fed38bd9657497c8c7bbd74fcd179359cc3473b47dbf89e0,60b868de3f5ff0327c012481ec50336fd3b6ef045bb73b0b37efd2e1b84e616b,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,9354ebdbc166dc85107ab7948d4f48dc2c53cd0fe5d496a2a781a02635dbb06a
